index	chapter	file	line	kind	voice	source	translation	terms
4180	18	noel2_008.dsf	1072	narration		ちいさく頷いて、雪野はひどく大人びた――それでいて疲れ果てたような表情で笑う。	雪野轻轻点头，露出一个过分成熟、却又疲惫不堪的笑容。	[]
4181	18	noel2_008.dsf	1080	dialogue	vfnoel2_008yki023	【話者：松井雪野／中文名：松井雪野】「そう。大好きな人。でも、私の想いは許されないもので……だから、理理がうらやましい。ノエルのことも、うらやましい。二人は、すごく……綺麗で、純粋に見える」	「嗯。我深爱的人。可是，我的感情是不被允许的……所以我羡慕理理，也羡慕诺艾尔。你们两个人看起来那么……美好而纯粹。」	"[{""source"": ""ノエル"", ""target"": ""诺艾尔"", ""mode"": ""preferred"", ""pronoun"": ""她"", ""present_in_target"": true, ""type"": null, ""note"": null}]"
4182	18	noel2_008.dsf	1087	narration		ノエルは黙って、雪野の瞳を見つめ返した。すこしおいて、雪野は小さく、言葉を継ぐ。	诺艾尔沉默地回望雪野的眼睛。片刻后，雪野又低声说道。	"[{""source"": ""ノエル"", ""target"": ""诺艾尔"", ""mode"": ""preferred"", ""pronoun"": ""她"", ""present_in_target"": true, ""type"": null, ""note"": null}]"
4183	18	noel2_008.dsf	1095	dialogue	vfnoel2_008yki024	【話者：松井雪野／中文名：松井雪野】「……私のは……汚い。私の想いは汚れてる。でも、止まらないの。好きで好きで、仕方ないの。他にはなにもいらない、欲しいのはたったひとつ……一緒にいられれば、あとはなにもいらない」	「……我的感情……很肮脏，已经被玷污了。可是我停不下来。我太喜欢那个人，根本无可奈何。其他什么都不要，我想要的只有一个……只要能和那个人在一起，其他一切都不需要。」	[]
4184	18	noel2_008.dsf	1103	dialogue	vfnoel2_008noe031	【話者：吉川ノエル／中文名：吉川诺艾尔】「……汚い、って……」	「……肮脏……？」	[]
4185	18	noel2_008.dsf	1107	narration		不意に――雪野の瞳が、揺れた。	忽然——雪野的眼眸颤了一下。	[]
4186	18	noel2_008.dsf	1111	narration		表面張力のぎりぎりまで、涙を湛えて、強く光る。	泪水盈至几乎要溢出的边缘，在眼中强烈地闪着光。	[]
4187	18	noel2_008.dsf	1119	dialogue	vfnoel2_008yki025	【話者：松井雪野／中文名：松井雪野】「あのね」	「那个……」	[]
4188	18	noel2_008.dsf	1126	narration		唇が震え、今にもしゃくりあげそうに呼吸を乱し、雪野は一瞬目を閉じた。	雪野嘴唇发颤，呼吸紊乱得仿佛马上就要抽泣，闭了片刻眼。	[]
4189	18	noel2_008.dsf	1130	narration		そして。	接着——	[]
